name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
East 6th Street,73,5591077,3941,4343,,123.8351763764231,1,29,,residential,6,"LINESTRING (-111.9303882 33.423295, -111.9303108 33.4236887, -111.9302973 33.4237531, -111.9302813 33.4238045, -111.930243 33.4238667, -111.9302129 33.4238974, -111.9301639 33.4239305, -111.9301123 33.4239534, -111.929686 33.4241011)",walk,1
East 6th Street,74,5591077,4343,3941,,123.83517637642314,1,29,,residential,6,"LINESTRING (-111.929686 33.4241011, -111.9301123 33.4239534, -111.9301639 33.4239305, -111.9302129 33.4238974, -111.930243 33.4238667, -111.9302813 33.4238045, -111.9302973 33.4237531, -111.9303108 33.4236887, -111.9303882 33.423295)",walk,1
East 6th Street,75,5591077,4343,30,,60.4111642970025,1,29,,residential,6,"LINESTRING (-111.929686 33.4241011, -111.929663 33.424109, -111.9292198 33.4242567, -111.9290798 33.4242989)",walk,1
East 6th Street,76,5591077,30,4343,,60.4111642970025,1,29,,residential,6,"LINESTRING (-111.9290798 33.4242989, -111.9292198 33.4242567, -111.929663 33.424109, -111.929686 33.4241011)",walk,1
West 6th Street,77,5591085,1183,4160,,51.80434670757692,1,25,,residential,6,"LINESTRING (-111.9412665 33.4243385, -111.9407083 33.4243409)",walk,1
West 6th Street,78,5591085,4160,1183,,51.80434670757692,1,25,,residential,6,"LINESTRING (-111.9407083 33.4243409, -111.9412665 33.4243385)",walk,1
West 6th Street,79,5591085,4160,32,,58.44003270071547,1,25,,residential,6,"LINESTRING (-111.9407083 33.4243409, -111.9400786 33.4243437)",walk,1
West 6th Street,80,5591085,32,4160,,58.44003270071547,1,25,,residential,6,"LINESTRING (-111.9400786 33.4243437, -111.9407083 33.4243409)",walk,1
East 6th Street,81,5591097,6,3847,,54.93124001218009,1,29,,unclassified,11,"LINESTRING (-111.9047769 33.4249762, -111.9053683 33.4249558)",walk,1
East 6th Street,82,5591097,3847,6,,54.93124001218009,1,29,,unclassified,11,"LINESTRING (-111.9053683 33.4249558, -111.9047769 33.4249762)",walk,1
East 6th Street,83,5591097,3847,4274,,16.242923662217436,1,29,,unclassified,11,"LINESTRING (-111.9053683 33.4249558, -111.9055433 33.4249534)",walk,1
East 6th Street,84,5591097,4274,3847,,16.242923662217436,1,29,,unclassified,11,"LINESTRING (-111.9055433 33.4249534, -111.9053683 33.4249558)",walk,1
East 6th Street,85,5591097,4274,4273,,28.86606082087583,1,29,,unclassified,11,"LINESTRING (-111.9055433 33.4249534, -111.9058543 33.4249491)",walk,1
East 6th Street,86,5591097,4273,4274,,28.86606082087583,1,29,,unclassified,11,"LINESTRING (-111.9058543 33.4249491, -111.9055433 33.4249534)",walk,1
East 6th Street,87,5591097,4273,4269,,10.525498321781054,1,29,,unclassified,11,"LINESTRING (-111.9058543 33.4249491, -111.9059677 33.4249475)",walk,1
East 6th Street,88,5591097,4269,4273,,10.525498321781054,1,29,,unclassified,11,"LINESTRING (-111.9059677 33.4249475, -111.9058543 33.4249491)",walk,1
East 6th Street,89,5591097,4269,34,,12.92007030723988,1,29,,unclassified,11,"LINESTRING (-111.9059677 33.4249475, -111.9061069 33.4249456)",walk,1
East 6th Street,90,5591097,34,4269,,12.92007030723988,1,29,,unclassified,11,"LINESTRING (-111.9061069 33.4249456, -111.9059677 33.4249475)",walk,1
East 6th Street,91,5591097,34,4272,,21.572748510807983,1,29,,unclassified,11,"LINESTRING (-111.9061069 33.4249456, -111.9063393 33.4249498)",walk,1
East 6th Street,92,5591097,4272,34,,21.572748510807983,1,29,,unclassified,11,"LINESTRING (-111.9063393 33.4249498, -111.9061069 33.4249456)",walk,1
East 6th Street,93,5591097,4272,4098,,41.88405117138832,1,29,,unclassified,11,"LINESTRING (-111.9063393 33.4249498, -111.9066889 33.4249524, -111.9067906 33.4249518)",walk,1
East 6th Street,94,5591097,4098,4272,,41.88405117138832,1,29,,unclassified,11,"LINESTRING (-111.9067906 33.4249518, -111.9066889 33.4249524, -111.9063393 33.4249498)",walk,1
East 6th Street,95,5591097,4098,4260,,19.07165163326437,1,29,,unclassified,11,"LINESTRING (-111.9067906 33.4249518, -111.9069961 33.4249507)",walk,1
East 6th Street,96,5591097,4260,4098,,19.07165163326437,1,29,,unclassified,11,"LINESTRING (-111.9069961 33.4249507, -111.9067906 33.4249518)",walk,1
East 6th Street,97,5591097,4260,4107,,8.88775681428609,1,29,,unclassified,11,"LINESTRING (-111.9069961 33.4249507, -111.9070467 33.4249504, -111.9070915 33.4249456)",walk,1
East 6th Street,98,5591097,4107,4260,,8.88775681428609,1,29,,unclassified,11,"LINESTRING (-111.9070915 33.4249456, -111.9070467 33.4249504, -111.9069961 33.4249507)",walk,1
East 6th Street,99,5591097,4107,4263,,26.715663277077528,1,29,,unclassified,11,"LINESTRING (-111.9070915 33.4249456, -111.9072195 33.4249318, -111.9073698 33.424889)",walk,1
East 6th Street,100,5591097,4263,4107,,26.715663277077528,1,29,,unclassified,11,"LINESTRING (-111.9073698 33.424889, -111.9072195 33.4249318, -111.9070915 33.4249456)",walk,1
East 6th Street,101,5591097,4263,4106,,47.61863659309744,1,29,,unclassified,11,"LINESTRING (-111.9073698 33.424889, -111.9074219 33.4248741, -111.9075206 33.4248041, -111.9075971 33.424732, -111.9076366 33.4246372, -111.9076414 33.4245598)",walk,1
